id_pedido,id_cliente,razao_social_cliente,cnpj_cliente,representante,cod_produto,desc_produto,quantidade,preco_unitario,valor_total_item,nf,data_emissao_pedido,data_desejada_entrega,data_firmada_original,data_firmada_atual,data_final_entrega,data_nf,data_nf_oficial,data_embarque,data_emb_oficial,tipo_faturamento,transportadora,condicao_pagamento,valor_geral_pedido
1,34145,Cavalcanti,78.429.306/0001-55,Sofia Correia,"('28NZFGQ7Z',)",KIT VENTILACAO,5,254.52,1272.6,239529,2024-06-17,2024-08-09,2024-08-24,2024-08-24,2024-08-31,2024-06-22,2024-06-22,2024-06-23,2024-06-23,BONIFICACAO,Martins TRANSPORTES LTDA,PIX,1272.6
2,90151,Silveira,47.329.806/0001-91,Yasmin da Mata,"('28NZFGQ7Z',)",KIT VENTILACAO,9,940.25,8462.25,119360,2025-05-21,2025-07-08,2025-07-21,2025-07-21,2025-08-09,2025-05-23,2025-05-23,2025-05-28,2025-05-28,BONIFICACAO,Casa Grande - EI TRANSPORTES LTDA,PIX,8462.25
3,73681,Borges S/A,63.805.924/0001-85,Srta. Ester Vieira,"('28NZFGQ7Z',)",KIT VENTILACAO,10,707.05,7070.5,402783,2025-05-11,2025-06-24,2025-06-24,2025-06-24,2025-07-16,2025-05-17,2025-05-17,2025-05-18,2025-05-18,VENDA,Farias Albuquerque e Filhos TRANSPORTES LTDA,BOLETO DESCONTADO,7070.5
4,99130,Gomes,90.184.375/0001-41,Pedro Henrique Cunha,"('28NZFGQ7Z',)",KIT VENTILACAO,2,923.59,1847.18,128745,2025-05-11,2025-06-11,2025-06-15,2025-06-15,2025-06-26,2025-05-13,2025-05-13,2025-05-15,2025-05-15,AMOSTRA,Gomes - EI TRANSPORTES LTDA,TRANSFERENCIA,1847.18
5,17864,Pastor S.A.,65.248.103/0001-10,Mariah da Conceição,"('28NZFGQ7Z',)",KIT VENTILACAO,9,158.01,1422.09,364608,2024-09-15,2024-10-19,2024-10-31,2024-10-31,2024-11-27,2024-09-21,2024-09-21,2024-09-22,2024-09-22,BONIFICACAO,Farias e Filhos TRANSPORTES LTDA,CARTAO DE CREDITO,1422.09
6,27491,Guerra S/A,96.403.257/0001-63,Pedro Novais,"('28NZFGQ7Z',)",KIT VENTILACAO,10,840.36,8403.6,386513,2024-10-10,2024-10-31,2024-11-10,2024-11-10,2024-12-02,2024-10-19,2024-10-19,2024-10-20,2024-10-20,VENDA,Nogueira Ltda. TRANSPORTES LTDA,CARTEIRA A PRAZO,8403.6
7,59220,da Costa - EI,35.741.892/0001-66,Olívia da Rocha,"('28NZFGQ7Z',)",KIT VENTILACAO,5,521.61,2608.05,548553,2024-03-24,2024-05-03,2024-05-10,2024-05-10,2024-06-09,2024-04-02,2024-04-02,2024-04-03,2024-04-03,AMOSTRA,Lima TRANSPORTES LTDA,BOLETO DESCONTADO,2608.05
8,83417,Cunha - ME,08.391.657/0001-39,Maria Mendes,"('28NZFGQ7Z',)",KIT VENTILACAO,1,169.85,169.85,122310,2024-07-14,2024-09-02,2024-09-03,2024-09-03,2024-09-08,2024-07-21,2024-07-21,2024-07-26,2024-07-26,AMOSTRA,Câmara - ME TRANSPORTES LTDA,CARTEIRA A VISTA,169.85
9,79519,Souza Albuquerque - EI,01.384.572/0001-84,Henry Novais,"('28NZFGQ7Z',)",KIT VENTILACAO,7,899.87,6299.09,748493,2025-02-08,2025-03-08,2025-03-14,2025-03-14,2025-03-14,2025-02-15,2025-02-15,2025-02-20,2025-02-20,BONIFICACAO,da Rocha TRANSPORTES LTDA,CARTEIRA A VISTA,6299.09
10,20034,Cirino,65.782.941/0001-70,Maria Sophia Abreu,"('28NZFGQ7Z',)",KIT VENTILACAO,6,484.14,2904.84,360501,2024-05-10,2024-07-04,2024-07-06,2024-07-06,2024-07-26,2024-05-12,2024-05-12,2024-05-17,2024-05-17,DEVOLUCAO,Sousa TRANSPORTES LTDA,TRANSFERENCIA,2904.84
